GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
interop-transaction-engine,com.comviva.interop.txnengine.configuration,BrokerServiceURLProperties,3,60,0,0,1,20,1,20,1,20
interop-transaction-engine,com.comviva.interop.txnengine.configuration,ChannelUserDetailsLoader,15,7,0,0,3,2,1,2,1,2
interop-transaction-engine,com.comviva.interop.txnengine.configuration,APISecurityConfig,5,61,1,1,1,14,1,5,0,5
interop-transaction-engine,com.comviva.interop.txnengine.configuration,StatusCodesLoader,0,108,0,6,0,19,0,6,0,3
interop-transaction-engine,com.comviva.interop.txnengine.entities,BrokerNonFinServiceDetails,31,42,0,0,9,3,10,11,10,11
interop-transaction-engine,com.comviva.interop.txnengine.entities,ChannelUserDetails,3,63,0,0,1,10,1,18,1,18
interop-transaction-engine,com.comviva.interop.txnengine.entities,NonFinancialServiceDetails,34,46,0,0,10,3,11,12,11,12
interop-transaction-engine,com.comviva.interop.txnengine.entities,SmsDelivery,4,104,0,0,0,18,1,30,1,30
interop-transaction-engine,com.comviva.interop.txnengine.entities,StatusCodes,20,18,0,0,1,6,5,6,5,6
interop-transaction-engine,com.comviva.interop.txnengine.entities,Languages,0,17,0,0,0,4,0,5,0,5
interop-transaction-engine,com.comviva.interop.txnengine.entities,InteropTransactionDetails,37,141,0,0,7,20,11,40,11,40
interop-transaction-engine,com.comviva.interop.txnengine.entities,InteropTransactions,22,114,0,0,6,15,7,32,7,32
interop-transaction-engine,com.comviva.interop.txnengine.entities,StatusCodesId,21,3,0,0,4,1,6,1,6,1
interop-transaction-engine,com.comviva.interop.txnengine.entities,SmsTemplates,0,31,0,0,0,7,0,9,0,9
interop-transaction-engine,com.comviva.interop.txnengine.entities,Currency,4,27,0,0,0,6,1,8,1,8
interop-transaction-engine,com.comviva.interop.txnengine.enums,ValidationErrors,0,573,0,0,0,53,0,4,0,4
interop-transaction-engine,com.comviva.interop.txnengine.enums,UnicId,0,70,0,0,0,10,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.enums,Constants,0,147,0,0,0,17,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.enums,TransactionStatus,2,178,1,3,1,22,1,6,0,5
interop-transaction-engine,com.comviva.interop.txnengine.enums,SourceAccountType,6,123,3,5,2,19,3,8,0,7
interop-transaction-engine,com.comviva.interop.txnengine.enums,TransactionSubTypes,0,84,0,0,0,9,0,1,0,1
interop-transaction-engine,com.comviva.interop.txnengine.enums,NonFinancialServiceTypes,0,81,0,0,0,11,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.enums,ISOFields,0,433,0,0,0,43,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.enums,ServiceCategories,0,24,0,0,0,2,0,1,0,1
interop-transaction-engine,com.comviva.interop.txnengine.enums,DefaultWalletStatusCodes,3,66,0,0,1,10,1,3,1,3
interop-transaction-engine,com.comviva.interop.txnengine.enums,TransactionTypes,0,48,0,0,0,8,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.enums,ThirdPartyResponseCodes,3,78,0,0,1,11,1,3,1,3
interop-transaction-engine,com.comviva.interop.txnengine.enums,ConfirmTransactionActionTypes,0,37,0,0,0,7,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.enums,RequestSource,2,94,1,7,1,16,1,9,0,6
interop-transaction-engine,com.comviva.interop.txnengine.enums,ServiceTypes,0,103,0,0,0,13,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.enums,SMSDeliveryStatus,3,45,0,0,1,7,1,2,1,2
interop-transaction-engine,com.comviva.interop.txnengine.enums,Sources,0,64,0,0,0,7,0,1,0,1
interop-transaction-engine,com.comviva.interop.txnengine.enums,ErrorStatus,57,0,0,0,10,0,4,0,4,0
interop-transaction-engine,com.comviva.interop.txnengine.enums,InteropResponseCodes,0,165,0,0,0,19,0,4,0,4
interop-transaction-engine,com.comviva.interop.txnengine.enums,RequestType,0,244,0,0,0,25,0,1,0,1
interop-transaction-engine,com.comviva.interop.txnengine.enums,SMSNotificationCodes,0,44,0,0,0,5,0,1,0,1
interop-transaction-engine,com.comviva.interop.txnengine.enums,SuccessStatus,0,45,0,0,0,9,0,4,0,4
interop-transaction-engine,com.comviva.interop.txnengine.enums,LogConstants,0,532,0,0,0,52,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.controllers,ReportsApiController,56,294,6,10,12,63,6,8,0,6
interop-transaction-engine,com.comviva.interop.txnengine.controllers,TransactionCorrectionController,14,281,2,10,2,54,2,8,0,4
interop-transaction-engine,com.comviva.interop.txnengine.controllers,NetworkManagementController,85,7,0,0,22,2,1,2,1,2
interop-transaction-engine,com.comviva.interop.txnengine.controllers,V1ApiController,0,318,0,0,0,74,0,9,0,9
interop-transaction-engine,com.comviva.interop.txnengine.controllers,CacheRefreshController,0,75,0,0,0,17,0,4,0,4
interop-transaction-engine,com.comviva.interop.txnengine.request.validations,ValidateTransactionQuotationRequestBody,19,81,5,7,5,18,5,3,0,2
interop-transaction-engine,com.comviva.interop.txnengine.request.validations,GetDescriptionForCode,18,130,5,11,3,31,5,8,0,5
interop-transaction-engine,com.comviva.interop.txnengine.request.validations,ValidateCreateTransactionRequestBody,22,225,11,31,5,52,11,15,0,5
interop-transaction-engine,com.comviva.interop.txnengine.request.validations,ValidateReceiveTransactionRequestBody,5,135,1,15,1,27,1,9,0,2
interop-transaction-engine,com.comviva.interop.txnengine.request.validations,RequestValidations,20,395,10,70,9,112,10,59,1,28
interop-transaction-engine,com.comviva.interop.txnengine.events,TransactionQuotationResponseEvent,0,16,0,0,0,6,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.events,ConfirmTransactionResponseEvent,0,16,0,0,0,6,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.events,CreateTransactionResponseEvent,0,16,0,0,0,6,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.events,ReceiveTransactionResponseEvent,0,16,0,0,0,6,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.events,PendingTransactionsResponseEvent,0,16,0,0,0,6,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.mobiquity.service.handlers,SubscriberGetLangHandler,4,105,2,2,1,15,2,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.mobiquity.service.handlers,MerchantPaymentConfirmHandler,88,265,2,2,16,41,2,6,0,6
interop-transaction-engine,com.comviva.interop.txnengine.mobiquity.service.handlers,RetailerGetLangHandler,0,92,0,0,0,11,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.mobiquity.service.handlers,TxnCorrectionInitHandler,0,282,0,4,0,46,0,7,0,5
interop-transaction-engine,com.comviva.interop.txnengine.mobiquity.service.handlers,TxnCorrectionApprovalHandler,18,306,0,4,5,54,0,8,0,6
interop-transaction-engine,com.comviva.interop.txnengine.mobiquity.service.handlers,C2CHandler,0,123,0,0,0,17,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.mobiquity.service.handlers,P2PHandler,0,140,0,0,0,18,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.mobiquity.service.handlers,GetFeeService,125,170,10,2,17,22,6,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.mobiquity.service.handlers,CashOutConfirmHandler,0,383,0,4,0,69,0,9,0,7
interop-transaction-engine,com.comviva.interop.txnengine.mobiquity.service.handlers,MerchantPaymentInitHandler,115,223,2,2,22,32,3,5,1,5
interop-transaction-engine,com.comviva.interop.txnengine.mobiquity.service.handlers,P2PCashInHandler,0,131,0,0,0,20,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.mobiquity.service.handlers,CashOutInitHandler,0,341,0,6,0,54,0,9,0,6
interop-transaction-engine,com.comviva.interop.txnengine.mobiquity.service.handlers,UserEnquiryHandler,31,211,2,2,4,37,2,5,0,5
interop-transaction-engine,com.comviva.interop.txnengine.mobiquity.service.handlers,UserAuthenticationHandler,0,202,0,4,0,33,0,6,0,4
interop-transaction-engine,com.comviva.interop.txnengine.mobiquity.service.handlers,GetFeeHandler,18,278,4,6,2,71,3,7,0,5
interop-transaction-engine,com.comviva.interop.txnengine.mobiquity.service.handlers,MerchantPaymentOneStepHandler,86,300,2,2,15,49,2,7,0,7
interop-transaction-engine,com.comviva.interop.txnengine.sms,SMSFetchingThread,0,132,0,6,0,26,0,7,0,4
interop-transaction-engine,com.comviva.interop.txnengine.sms,SmsExecutoerService,0,23,0,0,0,7,0,2,0,2
interop-transaction-engine,com.comviva.interop.txnengine.sms,SMSDeliveryThread,0,149,0,4,0,30,0,5,0,3
interop-transaction-engine,com.comviva.interop.txnengine.model,MappingResponse,0,10,0,0,0,3,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.model,TransactionStatusResponse,27,55,0,0,1,7,1,10,1,10
interop-transaction-engine,com.comviva.interop.txnengine.model,TransactionRequest,57,111,0,0,1,13,1,22,1,22
interop-transaction-engine,com.comviva.interop.txnengine.model,LogDetail,11,257,3,29,2,51,4,48,1,35
interop-transaction-engine,com.comviva.interop.txnengine.model,NetworkMessageRequest,32,0,0,0,5,0,5,0,5,0
interop-transaction-engine,com.comviva.interop.txnengine.model,ReceiveTransactionRequest,0,76,0,0,0,12,0,20,0,20
interop-transaction-engine,com.comviva.interop.txnengine.model,OrangeMoneyTechnicalAccountDetail,0,82,0,0,0,9,0,14,0,14
interop-transaction-engine,com.comviva.interop.txnengine.model,PendingTransactionsResponse,4,77,0,0,0,13,1,10,1,10
interop-transaction-engine,com.comviva.interop.txnengine.model,OrangeMoneyOperationDetail,8,242,0,0,0,23,2,40,2,40
interop-transaction-engine,com.comviva.interop.txnengine.model,EntityCodeMap,0,25,0,0,0,7,0,4,0,4
interop-transaction-engine,com.comviva.interop.txnengine.model,StepResponse,8,15,0,0,1,6,2,3,2,3
interop-transaction-engine,com.comviva.interop.txnengine.model,TransactionResponse,62,176,0,0,1,20,1,25,1,25
interop-transaction-engine,com.comviva.interop.txnengine.model,TransactionData,57,107,0,0,1,12,1,21,1,21
interop-transaction-engine,com.comviva.interop.txnengine.model,TxnMode,94,164,7,13,11,30,27,5,20,2
interop-transaction-engine,com.comviva.interop.txnengine.model,OrangeMoneyOperations,4,30,0,0,0,5,1,5,1,5
interop-transaction-engine,com.comviva.interop.txnengine.model,DebitPartyCredentialsDetails,17,17,0,0,1,4,1,5,1,5
interop-transaction-engine,com.comviva.interop.txnengine.model,CodeDescriptionMap,0,17,0,0,0,5,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.model,TransactionStatusRequest,17,25,0,0,1,7,1,4,1,4
interop-transaction-engine,com.comviva.interop.txnengine.model,WalletData,0,142,0,0,0,14,0,24,0,24
interop-transaction-engine,com.comviva.interop.txnengine.model,NetworkMessageResponse,68,0,0,0,13,0,10,0,10,0
interop-transaction-engine,com.comviva.interop.txnengine.model,ConfirmTransactionResponse.TransactionTypeEnum,5,62,1,3,2,10,2,5,1,4
interop-transaction-engine,com.comviva.interop.txnengine.model,AccountIdentifierBase.KeyEnum,0,27,0,0,0,6,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.model,BrokerResponse,0,58,0,0,0,7,0,10,0,10
interop-transaction-engine,com.comviva.interop.txnengine.model,AccountIdentifierBase,17,23,0,0,1,4,1,5,1,5
interop-transaction-engine,com.comviva.interop.txnengine.model,WalletResponse,0,442,0,0,0,39,0,74,0,74
interop-transaction-engine,com.comviva.interop.txnengine.model,ConfirmTransactionResponse,8,181,0,0,0,21,2,25,2,25
interop-transaction-engine,com.comviva.interop.txnengine.model,StatusCodeMap,0,17,0,0,0,5,0,3,0,3
interop-transaction-engine,com.comviva.interop.txnengine.model,Response,0,46,0,0,0,6,0,8,0,8
interop-transaction-engine,com.comviva.interop.txnengine.model,Request,4,16,0,0,0,6,1,4,1,4
interop-transaction-engine,com.comviva.interop.txnengine.model,ReceiveTransactionResponse,0,97,0,0,0,16,0,26,0,26
interop-transaction-engine,com.comviva.interop.txnengine.model,WalletType,31,15,0,0,4,2,4,4,4,4
interop-transaction-engine,com.comviva.interop.txnengine.model,PendingTransactions,77,0,0,0,10,0,17,0,17,0
interop-transaction-engine,com.comviva.interop.txnengine.model,RequestValidationResponse,0,5,0,0,0,2,0,1,0,1
interop-transaction-engine,com.comviva.interop.txnengine.model,PendingTransactions.StatusEnum,29,27,4,0,5,6,4,3,2,3
interop-transaction-engine,com.comviva.interop.txnengine.model,QuotationResponse,77,207,0,0,1,23,1,31,1,31
interop-transaction-engine,com.comviva.interop.txnengine.model,TransactionCorrectionResponse,0,48,0,0,0,8,0,12,0,12
interop-transaction-engine,com.comviva.interop.txnengine.model,QuotationRequest,0,97,0,0,0,12,0,18,0,18
